date,job_id,client_name,service_type,labor_amount,materials_amount,tax_amount,total_amount,payment_status,payment_method,source,notes
2024-11-23,JOB-0001,Client Alpha 0,class,0.0,91.7,8.48,100.15,partial,bank_transfer,,First-time customer.
2024-02-27,JOB-0002,Client Alpha 1,maintenance,953.18,152.12,68.46,1173.76,unpaid,,referral,
2024-01-13,JOB-0003,Client Alpha 2,InStAlLaTiOn,745.39,262.38,54.98,1062.73,paid,online,,Follow-up needed next month.
2024-05-20,JOB-0004,Client Gamma 3,installation,618.73,0.0,72.03,690.8,partial,check,facebook,Follow-up needed next month.
2024-05-05,JOB-0005,Client Gamma 4,private_session,198.22,145.61,40.43,384.28,unpaid,online,yelp,First-time customer.
2024-04-24,JOB-0006,Client Alpha 5,Consulting,198.19,305.93,53.73,557.82,PaRTiaL,check,website,Follow-up needed next month.
2024-03-12,JOB-0007,Client Gamma 6,maintenance,105.18,69.75,12.48,187.39,PENDING,bank_transfer,facebook,No issues.
2024-02-22,JOB-0008,Client Alpha 7,maintenance,872.87,,,872.9,unpaid,Crypto,facebook,Rush job.
2024-12-12,JOB-0009,Client Gamma 8,installation,621.06,183.18,78.73,882.93,paid,card,yelp,No issues.
2024-10-06,JOB-0010,Client Gamma 9,installation,722.67,228.03,76.83,1027.56,unpaid,online,facebook,First-time customer.
2024-02-14,JOB-0011,Client Gamma 10,maintenance,69.56,392.59,27.06,489.24,paid,check,yelp,Follow-up needed next month.
2024-10-29,JOB-0012,Client Gamma 11,plumbing,971.41,99.84,90.69,1161.93,paid,cash,walk-in,
2024-08-04,JOB-0013,Client Beta 12,plumbing,840.82,257.12,,1097.9,partial,cash,yelp,Rush job.
2024-01-17,JOB-0014,Client Alpha 13,Consulting,251.72,,28.61,280.37,partial,cash,website,
2024-01-16,JOB-0015,Client Beta 14,plumbing,222.73,23.23,16.75,262.72,partial,card,,First-time customer.
